Emociones,Promedio GSR,PromedioDevNeg,Potencia 1 GSR,Potencia 2 GSR,Potencia 3 GSR,Potencia 4 GSR,Potencia 5 GSR,Potencia 6 GSR,Potencia 7 GSR,Potencia 8 GSR,Potencia 9 GSR,Potencia 10 GSR,Freq1 GSR,Freq2 GSR,Freq3 GSR,Freq4 GSR,Freq5 GSR,Freq6 GSR,Freq7 GSR,Freq8 GSR,Freq9 GSR,Freq10 GSR,Promedio PS,DesviaciónE PS,PotEspecBandPS[0.1-0.2],PotEspecBandPS[0.2-0.3],PotEspecBandPS[0.3-0.4],Promedio Resp,Tiempo pro pap,Potencia 1 Resp,Potencia 2 Resp,Potencia 3 Resp,Potencia 4 Resp,Potencia 5 Resp,Potencia 6 Resp,Potencia 7 Resp,Potencia 8 Resp,Potencia 9 Resp,Potencia 10 Resp,Freq1 Resp,Freq2 Resp,Freq3 Resp,Freq4 Resp,Freq5 Resp,Freq6 Resp,Freq7 Resp,Freq8 Resp,Freq9 Resp,Freq10 Resp,Promedio Temp,PromedioDev Temp,PotEspecBandTemp[0-0.1],PotEspecBandTemp[0.1-0.2],Promedio HEOG,DesviaciónE HEOG,Energía HEOG,Promedio VEOG,DesviaciónE VEOG,Energía VEOG,Promedio ZEMG,DesviaciónE ZEMG,Energía ZEMG,Promedio TEMG,DesviaciónE TEMG,Energía TEMG,Pot Alpha O1,Pot Beta O1,Pot Gamma O1,Pot Alpha O2,Pot Beta O2,Pot Gamma O2,Pot Alpha C3,Pot Beta C3,Pot Gamma C3,Pot Alpha C4,Pot Beta C4,Pot Gamma C4,Pot Alpha F7,Pot Beta F7,Pot Gamma F7,Pot Alpha F8,Pot Beta F8,Pot Gamma F8,Pot Alpha T7,Pot Beta T7,Pot Gamma T7,Pot Alpha T8,Pot Beta T8,Pot Gamma T8,Pot Alpha P3,Pot Beta P3,Pot Gamma P3,Pot Alpha P4,Pot Beta P4,Pot Gamma P4
2.0,-18005.683434555966,-11.957540568865216,35101.81570789973,13178.637608734429,10943.625239069894,5227.748578435031,3659.2682121122516,3582.3056685448387,3303.168793361757,2967.1021286081236,2475.3035038568833,2460.6369411615806,0.0,0.0196078431372549,0.0392156862745098,0.09803921568627451,0.058823529411764705,0.1568627450980392,0.0784313725490196,0.11764705882352941,0.1764705882352941,0.21568627450980393,1125.540159706831,1464.3160076882345,529290626.97078675,49569488.86166671,11524327.905491596,1236.9113365895369,0.03425319220430108,2421.4804340564283,1799.0588442094754,1346.8458187807926,874.161248433696,667.4166372761392,645.7930194136192,561.777262559683,527.7248039823821,500.09136425797345,418.52034680048087,0.0,0.0392156862745098,0.058823529411764705,0.0196078431372549,0.09803921568627451,0.11764705882352941,0.0784313725490196,0.1764705882352941,0.29411764705882354,0.3529411764705882,-0.07544082242926446,-3.830194518923833e-05,1.20556101344231e-08,5.273397692024566e-12,136.20883801105526,102.69377869090623,189957356.34445795,-145.48994161102112,117.26386256957984,227945595.5597432,-163.95993563106475,196.9967143306275,428828014.51641524,-190.8053545860299,254.41813186287285,660211037.0718769,193095.26737701378,192351.3651543847,110059.3613103005,345385.71532758075,679340.4878064457,693810.8948326886,101611.75967009581,155833.6272176646,112599.33025256523,970349.2270955356,2069975.1383337993,2084977.0340926957,92837.17171866761,180262.76560263723,155129.6217761994,465234.9581485324,1349883.6488941323,1544344.4237567757,254403.7916583053,564833.2112312242,523951.36857708794,123474.65254785481,213644.44487643286,161842.0247209275,102777.70881781369,133622.45005229887,72629.37428038617,93140.40007000927,170488.1734049055,130950.46226651967
1.0,-8794.65074591771,-4.84899722334187,17218.271566832263,9570.626200711076,6122.338963668654,2811.452175453191,2017.2478810313412,1804.9765546624526,1427.6499299654038,1038.769935563513,970.4722053341042,932.482746314477,0.0,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.09803921568627451,0.11764705882352941,0.1764705882352941,0.0784313725490196,0.1568627450980392,0.23529411764705882,304.4638384740111,518.7233737105394,236494217.43645084,23820986.561520174,708550.1231653013,-820.3666721676116,0.026395002589331952,1601.6916815578772,747.909587985537,462.8009207465636,442.85005700371323,377.8748228410621,320.476782349569,244.81846933861408,235.34379946638308,208.87675232194042,208.7300544386283,0.0,0.0196078431372549,0.19607843137254902,0.1568627450980392,0.09803921568627451,0.0784313725490196,0.0392156862745098,0.3529411764705882,0.49019607843137253,0.11764705882352941,-0.05450558213928614,-1.2563038022069815e-05,8.938781158487064e-09,1.8296145776098588e-12,126.37164053970328,75.28835174705493,141253695.9380087,-190.65284835741733,97.90456625795561,299855929.181273,-113.78492685589735,56.48716048451084,105347616.36344881,67.8262236709,120.96179394712055,125547489.64228982,135556.5813908697,138675.30087168762,37548.93561214238,303874.66900002165,316953.7328119877,161083.83114861287,94811.07370996008,109469.63020823545,34868.747625319644,903452.5988535354,1120380.2571422604,551077.2753303789,82700.67599525924,97917.26324876842,46006.277273752945,468343.1932503275,562039.6131989686,358510.40574101434,246124.39245481387,302120.6975940233,136932.78344712462,125225.46149742343,128403.72074089212,43542.24937253381,78004.46316129237,92226.1661230466,21849.951774262256,85340.86404930084,108062.65152748294,36306.45644358206
2.0,-1331.4086299384414,0.0015367132483286928,3133.7421603966422,2709.4635188583566,992.9015311216864,451.5135671108054,338.6110447844077,267.46480881879614,227.1981990602926,220.95596566598925,219.19809521792922,216.2475838346825,0.0196078431372549,0.0,0.0392156862745098,0.13725490196078433,0.058823529411764705,0.1568627450980392,0.21568627450980393,0.1764705882352941,0.2549019607843137,0.0784313725490196,1504.4219161765986,1280.765431873137,86034156.14639595,4698019.559133361,1311251.7489061847,-2707.5409530304764,0.028217573366555924,5361.725286699115,611.1272907761622,454.2881221449644,363.86926531414684,342.73786868745253,328.8242060894789,267.3974679474494,245.85480262877226,238.26793699974579,179.9399483366217,0.0,0.0392156862745098,0.0196078431372549,0.09803921568627451,0.058823529411764705,0.11764705882352941,0.1568627450980392,0.21568627450980393,0.23529411764705882,0.13725490196078433,-0.13206433085828467,-3.922119187377893e-05,4.464393412630142e-08,2.3839507431432012e-12,56.412646606260644,78.74033763033151,61248486.50628279,40.914513478123716,51.481277719767256,28229156.8396007,-103.6452109867657,92.92632607186171,126497180.63653937,-102.75139466189776,137.84546209240474,192962591.58350348,130302.28667243947,156557.27774009164,87606.71559638034,328911.2766373845,380163.1526343054,312125.7888637406,90115.10226172826,128778.80070007106,86289.20451847672,835899.2394004458,1387481.5158013515,1450236.0381650755,85024.57370011164,131931.38721343814,123233.37359528113,406722.20632158057,707047.2131372247,863770.181889679,226048.7074090323,384649.96353485156,363471.9642800553,132256.38962600165,148671.6545930688,73650.12628188964,90410.52844209016,101861.16610977356,38330.086967779316,90797.947184553,125316.00154441189,87578.5635569132
2.0,3491.2838242477574,0.8565755322436515,6948.160591034894,4281.636322269655,1838.8753047326666,1426.125289490688,1114.1638440582826,943.5643146311263,927.7752513775001,687.6215275040513,376.8651832384899,239.0363251539704,0.0,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.0784313725490196,0.11764705882352941,0.09803921568627451,0.13725490196078433,0.1568627450980392,0.19607843137254902,593.2984602309054,1017.7374973735035,156017603.8018625,15941850.395942304,3138660.8905375823,252.17054259241422,0.030680534638554215,767.0416426978313,683.5901732630506,656.6906199059259,556.935248128379,527.5254379930019,519.6663286819473,501.3248876573606,465.283236381023,403.1574806684555,396.0154534927204,0.13725490196078433,0.0196078431372549,0.11764705882352941,0.1568627450980392,0.058823529411764705,0.0,0.0784313725490196,0.1764705882352941,0.2549019607843137,0.09803921568627451,-0.017212095600611037,-7.660389037847992e-06,7.287747393924143e-10,1.6347268809644147e-12,44.03453873335124,65.8931952771047,41002066.31034469,-105.0758819798547,65.78715885207706,100328122.03869574,39.75314824503134,27.15545975857734,15130153.125715042,248.04818309880923,199.52117567547435,661525329.2491192,161239.38234341054,146053.83966094494,49375.93777667263,392653.25225184317,435327.7941254392,264363.2122670926,85427.58692380552,118549.95094249495,48088.90723820471,951652.1245793633,1361578.4007558052,960090.2125255177,80172.77287084507,113576.45044045556,72390.29481546958,585810.35760304,870677.7213277817,687818.1576705474,225815.96162439982,344598.9152823111,213720.8822697822,155118.97048658907,162179.2573111108,62076.14423507735,96418.71935753804,106346.52202328171,26242.934696757864,92199.59908016969,129752.71905181359,61684.0347838785
0.0,-3736.386023678411,-1.330095809221274,7342.836192727735,3939.7457370673546,1644.7886509307903,1378.6458270698547,1323.621008367426,1272.6182710925602,1083.6202015940098,881.7499380132952,837.9512323860735,722.2732182360953,0.0,0.0392156862745098,0.0196078431372549,0.1568627450980392,0.09803921568627451,0.0784313725490196,0.13725490196078433,0.1764705882352941,0.058823529411764705,0.11764705882352941,714.7375105408122,1083.359711121971,147701822.3412592,67064806.33512998,1807814.9050760749,-1270.623130916524,0.027098570478723404,2495.0540444982726,807.7077194937757,326.99114640255505,266.58696466439403,259.03753368634517,247.7333362272921,245.1842057400369,242.57723139893656,219.43437140767676,205.57939861479719,0.0,0.0196078431372549,0.0392156862745098,0.5686274509803921,0.13725490196078433,0.11764705882352941,0.19607843137254902,0.058823529411764705,0.1764705882352941,0.09803921568627451,-0.06058960343622862,-3.631024403939745e-05,1.0181881242469208e-08,6.210807508979566e-12,-414.97742811763584,209.6335864540914,1411043561.8884284,-194.29018270573593,143.53432600010618,380913877.71427524,-50.922704812410366,70.82699753679553,49675373.78815296,-414.9610659390139,512.2052116777427,2836721935.4712734,133856.01647116098,115433.2722894244,24875.129660622042,909492.8092955465,447510.58714879764,162744.96180553452,103896.95204128983,98028.44492985385,22647.93113333794,1823995.039732089,1103002.8310356229,468932.29598123656,90714.13121765581,85734.48070125002,28564.242064811744,1782400.6636352846,798392.8519845055,376435.30178289406,352992.3500628153,273884.49577597686,94499.77590008124,270957.74011242297,161778.30994286513,41693.09688191712,115210.26718573402,106079.43101667678,18267.633707627523,134218.15539374363,103571.86016680559,32947.590238455254
2.0,-848.9091840702441,-0.10668398353723092,4531.213861637639,1969.1425414176656,1691.990991109146,1196.7200019594927,1070.5346722547417,890.4583593534225,701.7871209247174,528.1696790390197,322.6312197296228,320.3689344086858,0.0196078431372549,0.0392156862745098,0.0,0.058823529411764705,0.0784313725490196,0.09803921568627451,0.11764705882352941,0.13725490196078433,0.1568627450980392,0.1764705882352941,1771.4413902220888,1365.4921100407676,38878158.588244624,6239152.2255193135,1171317.3827380696,-896.8176166132454,0.027674572475570033,1774.232705749593,452.2004342533452,299.3529708113966,292.40554407672437,247.00146670333237,214.69960933915533,162.19660415787828,161.3384578530397,159.82191263906,140.65417757242452,0.0,0.0196078431372549,0.0392156862745098,0.2549019607843137,0.058823529411764705,0.27450980392156865,0.45098039215686275,0.3333333333333333,0.0784313725490196,0.21568627450980393,-0.09303863612607347,-2.5432491605653527e-05,2.330533760548462e-08,1.3812129166647506e-12,32.02416340713401,108.58489749153469,83664329.88977522,66.35391481045616,131.22302202151263,141150527.93289113,73.84381461228114,17.716399703389403,37645538.37082926,225.4677589439857,212.2877611750344,626046975.6498562,184027.6799877557,194063.9761509067,78858.10909306208,361889.89154944377,460682.0780401018,267398.5801625647,108292.2633660314,151025.1652164777,76459.883009827,907924.2677617247,1778251.4846814035,1278539.8141604129,93154.4226137941,149735.0799182267,111203.48925487803,527425.6866142271,973074.1938071542,750435.8366937299,259663.6464763993,462690.22711725027,318941.2401759365,135866.49642613434,166769.32367619404,68064.02802723311,108690.90893812722,117300.01685388682,33315.28938491108,97519.39474819136,147364.77430238583,77943.44680813134
1.0,-8999.583678549954,-3.7571754355164635,17650.781705569316,5509.794419142952,4852.799439220171,2341.4372564390287,1840.8137326432093,1424.4869038819381,1423.8426415650924,948.7809979080395,872.1534597359425,734.9194392528055,0.0,0.0392156862745098,0.058823529411764705,0.0784313725490196,0.1568627450980392,0.0196078431372549,0.1764705882352941,0.13725490196078433,0.2549019607843137,0.19607843137254902,1869.705515307026,1338.3583634742467,20969015.59454633,7270755.43353255,315413.5505359907,-1034.8142452470097,0.0262279657745754,2034.3960684387134,427.576217906178,275.6128341322784,242.0750041136521,235.37275173484187,205.0378321079919,178.89324849037038,173.46549833826762,168.03332681797008,155.14443361623745,0.0,0.0196078431372549,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.0784313725490196,0.2549019607843137,0.09803921568627451,0.13725490196078433,0.29411764705882354,-0.1131528085067446,-3.508458179334131e-05,3.428682061022719e-08,6.916454792384108e-13,-1.5254931218222967,69.6176095597583,31653871.768840127,-32.035274178515216,64.09784312084551,33519924.032805823,16.81089399134181,27.832003349108184,6901575.030765816,-244.0618767007137,207.17258553939956,669033046.1114199,153593.108787386,158327.9168338948,56077.8632212743,367945.0585396779,522720.8902719744,401024.51550992404,116345.82647178615,118933.22407742016,55534.68578659844,1142837.7164136015,1676550.3408893486,1314062.788184767,106731.13672073241,126604.02381676827,84274.39669145686,694932.8787736257,1130839.2795813882,1034310.626633455,314189.84415577946,391050.9497405552,273187.62264099123,140878.42983936076,174106.2775784325,91084.11332981088,91943.12255049981,109165.75068086549,34153.22026170958,103133.50737880007,147520.04618094955,85864.37093562495
1.0,-517.9233503098429,-0.7552068567216524,3659.9019795772065,1979.6653098544757,1830.0577437322925,993.3790346807313,800.5244309480572,766.1949854606382,687.8797191197439,636.0822210619971,464.9143762740151,393.2153130969096,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.0,0.1568627450980392,0.0784313725490196,0.1764705882352941,0.21568627450980393,0.19607843137254902,0.13725490196078433,629.0129542641126,1112.466310612334,218183529.20875764,31538254.920016926,2275892.549236531,-595.6145981755576,0.03001160135533294,1168.823097994192,430.5568404982638,193.25369343976357,156.48796446805056,156.05173549261505,149.55348776300818,134.56273074616442,132.44404951186314,130.59086143419145,109.63515813024794,0.0,0.0196078431372549,0.0392156862745098,0.47058823529411764,0.23529411764705882,0.45098039215686275,0.058823529411764705,0.2549019607843137,0.21568627450980393,0.09803921568627451,-0.058140952218229354,-4.136610080438166e-06,1.3120084572767862e-08,1.2165645223922964e-12,-18.452875485551235,77.27193431173762,41201213.79124492,196.19995724835368,79.83818365267156,292901951.8020968,-190.24547414841865,54.376655078266445,255572251.34391367,981.1709955226063,806.151156344034,10526897494.503927,155296.80252620627,124823.9935174232,30113.52315782605,688524.6187285945,515288.5940768096,179162.68469308072,95975.99848930282,91645.97308675556,28084.79742352649,1268642.344207254,1113933.8186745974,555271.0252117524,78874.81159526935,85947.17651415529,36091.22826778322,1190398.8479534844,859284.6167443187,422374.15884342074,259902.52467766675,263343.38533082657,117181.30062736262,231632.1141725095,179075.97599792926,46528.45269658707,109835.79784462872,104145.33190768812,19356.493140385843,123100.60388491598,109226.02064552395,37497.56904890261
2.0,-9165.069657820386,-3.5690191541907588,18015.743882465,5926.535646226252,4771.112442894894,3620.730557706372,1862.9976126800493,1660.3423715475342,1512.8265680684963,1154.0147495859212,866.511795627866,739.5729205839245,0.0,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.11764705882352941,0.13725490196078433,0.09803921568627451,0.1568627450980392,0.21568627450980393,0.23529411764705882,553.4936975051044,1060.695862503144,233160267.4903067,34415946.09270228,15397939.082053779,-1674.6617867371867,0.030782666163141993,3327.7156437357726,734.945528336521,474.6959243069144,363.76103438901583,321.5030162904203,271.0697602160844,267.1519658485996,249.35856077018843,243.4742898377652,211.90951629039478,0.0,0.0196078431372549,0.11764705882352941,0.09803921568627451,0.058823529411764705,0.13725490196078433,0.1764705882352941,0.2549019607843137,0.0784313725490196,0.23529411764705882,0.11483906140695124,2.6504946070952172e-05,4.294629462692296e-08,1.2867464721227186e-12,94.42107342742806,89.9851020679115,111058629.47447903,79.1525469522946,96.01975543759292,101085552.03710052,-149.24917849908735,75.01144109016236,182144475.19114736,119.87765073902743,100.12933127096505,159260574.78418237,142579.75214088912,139579.26350255797,43172.12558155618,529821.4617693877,387792.6444805251,184309.60307714008,100533.1158373851,108563.42366130742,42747.33664879369,1265450.2768360449,1325114.4663060722,694788.8968814871,88182.09741506068,101406.93925687097,61838.109154450525,1041173.4894415075,864367.2136987796,440311.9127026659,288165.46157803695,328361.4077629691,180344.63012054467,182861.74234992886,146218.0300494126,49356.07079960954,89377.49549949067,88547.18261588839,24402.136352864312,104962.9133825656,116582.59169091083,47515.36954988554
0.0,5519.865947220945,0.0,10833.447105282008,2862.8341784121862,2343.8915562655125,1575.5226561388554,1096.4736387882874,735.205428561446,706.4259215752766,490.2151973600401,452.92628390909726,445.7041174753798,0.0,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.09803921568627451,0.1568627450980392,0.11764705882352941,0.13725490196078433,0.1764705882352941,0.0784313725490196,354.3390811646092,722.2718396317694,38864183.23027729,12206794.49842423,1244685.6138321906,-1898.6677779317606,0.02803561606160616,3756.7577918989437,449.0719805292277,283.006379914948,262.6462470177808,200.19332211027444,191.2542652256809,168.43687611957566,146.53447768284158,144.01054443445543,140.1666187034145,0.0,0.0196078431372549,0.0784313725490196,0.13725490196078433,0.1568627450980392,0.2549019607843137,0.21568627450980393,0.1764705882352941,0.47058823529411764,0.27450980392156865,0.34665379899648346,9.514203185006586e-05,3.3472700757057667e-07,4.0369083190518875e-12,-67.67586683323147,79.62256391560983,71284295.35262159,-174.55869247183193,123.14835979758469,297913476.80689394,-21.916037361617146,25.67851950396452,7439955.4476948,43.443312612189224,307.7427306729308,630558514.4742858,142661.61473493095,127769.57605559021,17826.91479225368,654405.379865023,418026.0577764029,107838.10959939478,94795.94375024583,99832.5060816756,15851.513194299243,1183176.866929507,844728.312308653,262182.23149497685,88196.93484220051,76099.45513151852,17361.964871262142,983849.2076656126,547233.2153432213,216373.80915256753,268474.2550456829,233754.98515121662,55343.63147483293,221101.79926275206,159731.0701861449,31810.75103084458,105831.50938145308,106569.51815807233,14977.851059299814,100330.65729378158,93909.84494874794,20594.39462375399
